resample,delta_f1
211,-0.10129640389731537
212,-0.1316984559491372
213,-0.13555025585452005
214,-0.04803527402328034
215,-0.17475182974327652
216,-0.07415589505943601
217,-0.17062943527795876
218,-0.16314907127173459
219,-0.06747160481246642
220,-0.08627695202596514
221,-0.06503257393996106
222,-0.08029344460896484
223,-0.09707624705858137
224,-0.08776343374158671
225,-0.12925251447524055
226,-0.15273248484817237
227,-0.13529500227960842
228,-0.10192430095254815
229,-0.0987653045711554
230,-0.11006102465480125
231,-0.13147478740564647
232,-0.040621605236133285
233,-0.11304464665150116
234,-0.07352554563340424
235,-0.10948504779369728
236,-0.10974720466699078
237,-0.07695101050380954
238,-0.16500014471919652
239,-0.10804262229622782
240,-0.13838181539606453
241,-0.16775865149800462
242,-0.07514280931703313
243,-0.09536213414893169
244,-0.09715542013421635
245,-0.19476333819406957
246,-0.16593738604990366
247,-0.06559324782481868
248,-0.19969750509527576
249,-0.08970948767890538
250,-0.13874067291804804
251,-0.14027589796467582
252,-0.08651511663195788
253,-0.06816608329137361
254,-0.09438608445479152
255,-0.10337495779461803
256,-0.15120091209711375
257,-0.1651792227450122
258,-0.146128994057394
259,-0.22925186062198938
260,-0.14663272889876589
261,-0.08928588415475208
262,-0.10203211834533199
263,-0.10315987518182809
264,-0.12397352829077296
265,-0.03981600440488203
266,-0.16759769295107188
267,-0.13301143057521192
268,-0.14024134134020508
269,-0.2025503889674681
270,-0.1597657804475943
271,-0.14246185328528843
272,-0.13195391106783513
273,-0.07095533211613134
274,-0.09533912138869063
275,-0.09861436304402146
276,-0.1515646033044057
277,-0.18474740234160575
278,-0.11252620237045743
279,-0.1212328562241067
280,-0.13698049417102418
281,-0.09079247183968986
282,-0.09050892998261417
283,-0.06608301630409966
284,-0.05936205893425511
285,-0.09318366265073408
286,-0.11870367554458647
287,-0.12798926232730923
288,-0.14777061066905225
289,-0.14393259985207102
290,-0.21665738556835798
291,-0.10384857780086645
292,-0.13895770097861876
293,-0.15181796712679607
294,-0.0986484971858207
295,-0.11781887273721063
296,-0.10512088825646004
297,-0.11840404712317656
298,-0.09133581058195561
299,-0.10340307086197537
300,-0.03741033836745522
301,-0.09008342705374789
302,-0.07065449586184114
303,-0.19033923386874535
304,-0.08101246867622391
305,-0.15830417127342686
306,-0.07815237816672693
307,-0.12151951082621928
308,-0.08489371652910527
309,-0.09654287785951471
310,-0.14095171896376718
311,-0.14452948920272105
312,-0.10048312931183823
313,-0.12799970650978668
314,-0.01339606033877963
315,-0.11053849344637356
316,-0.09344388146783353
317,-0.13606042001798704
318,-0.11518359302432507
319,-0.0964441424072395
320,-0.1454921549039196
321,-0.103058505053511
322,-0.11383908551646577
323,-0.14440507697999375
324,-0.0813271746556137
325,-0.09244505531817798
326,-0.1588291704753627
327,-0.20426624928398648
328,-0.11949880874098456
329,-0.1675103430710833
330,-0.11091637289332862
331,-0.11888694595637428
332,-0.11433889020580687
333,-0.17205258631569983
334,-0.11692054222142145
335,-0.23672309787488935
336,-0.1574712263291653
337,-0.12234004120237618
338,-0.061287523859101134
339,-0.13201346353865712
340,-0.21814001402699465
341,-0.06116417454989326
342,-0.06913232002983963
343,-0.1379180959562982
344,-0.0848598130841122
345,-0.05870137603506487
346,-0.11431313352687714
347,-0.10907118910607216
348,-0.103989410756328
349,-0.08384620166604498
350,-0.15089891490576818
351,-0.10162508909479684
352,-0.16523750647123836
353,-0.11839088880373289
